176.0	0.18	
161.4	0.26	 
148.0	0.25	 
135.7	0.27	 
124.5	0.3	 
114.1	.35	 
104.7	.41	 
95.96	.48	 
88	.59	 
80.7	.71	 
74	.87	 
67.86	1.06	 
62.23	1.27	 
57.06	1.49	 
52.33	1.73	 
47.98	1.97	 
44	2.19	 
40.35	2.39	 
37	2.57	 
33.93	2.73	 
31.11	2.84	 
28.53	2.93	 
26.16	2.99	 
23.99	3.04	 
22	3.06	 
20.17	3.08	 
18.5	3.08	 
16.96	3.06	 
15.56	3	 
14.27	2.87	 
13.08	2.85	 
12	2.67	 
11	2.55	 
10.09	2.43	 
9.25	2.34	 
8.482	2.27	 
7.778	2.24	 
7.133	2.22	 
6.541	2.23	 
5.998	2.24	 
5.5	2.26	 
5.044	2.27	 
4.625	2.26	 
4.241	2.25	 
3.889	2.22	 
3.566	2.13	 
3.27	1.98	 
2.999	1.77	 
2.75	1.5	 
2.522	1.23	 
2.312	.95	 
2.121	.73	 
1.945	.55	 
1.783	.43	 
1.635	.34	 
1.499	.28	 
1.375	.24	 
1.261	.21	 
1.156	.2	 
1.06	.14	 
.972	0	 
