    610.12057500    0.00015857
    510.90042000    0.03334130
    429.84541000    0.78747774
    360.24328500    5.13948063
    300.23482000   13.62309049
    250.32978500   19.90619468
    210.44334500   17.04230389
    178.42206500   14.35848601
    149.85303000   10.64300387
    125.48335500    6.61692743
    105.57525500    4.06808483
     89.24699500    2.54284172
     74.19231500    2.00956890
     60.51606500    1.16960527
     50.26160000    0.63516120
     42.76653000    0.39727673
     36.60276000    0.30935614
     30.89962500    0.25219906
     25.98678500    0.17024380
     21.88174500    0.13855785
     17.46081500    0.15663990
     15.0           0.
