1207.5	0.22
1135	0.61
1040.8	1.34
954.3	2.12
875.1	2.98
802.45	3.78
735.85	4.51
674.8	5.18
618.8	5.76
567.45	6.15
520.35	6.36
477.15	6.42
437.55	6.33
401.25	6.03
367.95	5.56
337.4	5.02
309.4	4.42
283.7	3.83
260.15	3.27
238.55	2.77
218.75	2.33
200.6	1.96
183.95	1.64
168.7	1.36
154.7	1.13
141.85	0.94
130.1	0.76
119.3	0.66
109.4	0.57
100.33	0.52
91.98	0.48
84.35	0.47
77.35	0.46
70.93	0.45
65.045	0.44
59.645	0.43
54.695	0.4
50.155	0.38
45.99	0.34
42.175	0.31
38.675	0.27
35.465	0.25
32.52	0.22
29.82	0.2
27.345	0.21
25.075	0.14
22.995	0
