38.675	0.14
35.465	0.24
32.52	0.31
29.82	0.44
27.345	0.62
25.075	0.87
22.995	1.2
21.085	1.62
19.335	2.16
17.73	2.83
16.26	3.63
14.915	4.54
13.675	5.53
12.54	6.42
11.5	7.18
10.545	7.57
9.67	7.56
8.865	7.18
8.13	6.45
7.455	5.58
6.835	4.61
6.27	3.73
5.75	2.97
5.27	2.36
4.83	1.88
4.43	1.5
4.065	1.22
3.73	1.01
3.42	0.85
3.1345	0.72
2.8745	0.63
2.636	0.56
2.417	0.51
2.2165	0.47
2.033	0.45
1.864	0.43
1.709	0.42
1.567	0.42
1.437	0.41
1.318	0.39
1.2085	0.38
1.108	0.37
1.016	0.35
0.932	0.32
0.855	0.29
0.769	0.27
0.704	0.25
0.659	0.16
0.315	0
